,session,subject,parent_adj_nps,child_adj_nps,parent_indef_def_adj_nps
1977,4,22,a show+off,,a show+off
1986,4,22,the fire+man,,the fire+man
1988,4,22,the song,,the song
2016,4,22,the gates,,the gates
2039,4,22,the one,,the one
2051,4,22,the bookcase,,the bookcase
2054,4,22,a picture,,a picture
2055,4,22,the picture,,the picture
2058,4,22,a monster,,a monster
2060,4,22,a monster,,a monster
2063,4,22,a monster,,a monster
2072,4,22,a kiss,,a kiss
2075,4,22,a sister,,a sister
2076,4,22,a brother,,a brother
2101,4,22,a girl,,a girl
2104,4,22,a baby,,a baby
2106,4,22,a doggie,,a doggie
2108,4,22,a girl,,a girl
2110,4,22,a girl,,a girl
2115,4,22,a baby,,a baby
2117,4,22,a baby,,a baby
2120,4,22,the baby,,the baby
2125,4,22,a boy,,a boy
2129,4,22,a boy,,a boy
2131,4,22,a boy,,a boy
2133,4,22,a baby,,a baby
2135,4,22,a baby,,a baby
2159,4,22,the store,,the store
2165,4,22,the closet,,the closet
2215,4,22,a mess,,a mess
2238,4,22,a hat,,a hat
2240,4,22,a hat,,a hat
2251,4,22,the room,,the room
2267,4,22,the garbage,,the garbage
2270,4,22,the garbage,,the garbage
2285,4,22,a actress,,a actress
2307,4,22,a pucker,,a pucker
2316,4,22,the room,,the room
2317,4,22,the den,,the den
2324,4,22,a time,,a time
2360,4,22,a tripod,,a tripod
2362,4,22,a stand,,a stand
2368,4,22,the room,,the room
2370,4,22,the den,,the den
2385,4,22,a doggie,,a doggie
2387,4,22,the puzzle,,the puzzle
2389,4,22,the box,,the box
2404,4,22,the day,,the day
2435,4,22,the ears,,the ears
2467,4,22,a nose,,a nose
2480,4,22,the hole,,the hole
2504,4,22,the place,,the place
2589,4,22,a nose,,a nose
2625,4,24,a cake,,a cake
2690,4,24,the rest,,the rest
2693,4,24,the star,,the star
2695,4,24,the star,,the star
2750,4,24,the monkey,,the monkey
2752,4,24,the monkey,,the monkey
2777,4,24,the water,,the water
2851,4,24,a job,,a job
2859,4,24,the number,,the number
2875,4,24,a book,,a book
2877,4,24,a book,,a book
2909,4,24,the seal,,the seal
2917,4,24,a lion,,a lion
2945,4,24,a school,,a school
2947,4,24,a school,,a school
2972,4,24,the legs,,the legs
3016,4,24,the bear,,the bear
3020,4,24,the fish,,the fish
3041,4,24,the animals,,the animals
3072,4,24,a triangle,,a triangle
3095,4,24,a tea+party,,a tea+party
3099,4,24,the tea+party,,the tea+party
3103,4,24,the bear,,the bear
3105,4,24,the bear,,the bear
3109,4,24,the bear,,the bear
3113,4,24,the ground,,the ground
3123,4,24,the bear,,the bear
3129,4,24,a boots,,a boots
3134,4,24,the pieces,,the pieces
3135,4,24,the bear,,the bear
3140,4,24,the faces,,the faces
3173,4,24,a fever,,a fever
3181,4,24,the bear,,the bear
3248,4,24,the game,,the game
3249,4,24,the mouse,,the mouse
3252,4,24,the #,,the #
3271,4,24,a blouse,,a blouse
3280,4,24,a sandwich,,a sandwich
3290,4,24,the star,,the star
3295,4,24,the girl,,the girl
3302,4,24,the shoes,,the shoes
3329,4,24,the boy,,the boy
3332,4,24,a shirt,,a shirt
3340,4,24,a hat,,a hat
3351,4,24,a cuff,,a cuff
3383,4,24,the hat,,the hat
3385,4,24,the shirt,,the shirt
3414,4,24,a picnic,,a picnic
3488,4,24,the apple,,the apple
3489,4,24,the apple,,the apple
3517,4,24,the sandwich,,the sandwich
3561,4,24,a minute,,a minute
3666,4,24,a #,,a #
3720,4,24,the things,,the things
3738,4,24,the circle,,the circle
3746,4,24,the rectangles,,the rectangles
3772,4,24,a book,,a book
3813,4,24,a picture,,a picture
3822,4,24,a hawk,,a hawk
3830,4,24,a triangle,,a triangle
3834,4,24,a lion,,a lion
3836,4,24,a lion,,a lion
3846,4,24,a job,,a job
3854,4,24,a color,,a color
3864,4,24,a girl,,a girl
3865,4,24,the girl,,the girl
3869,4,24,the girl,,the girl
3899,4,24,a girl,,a girl
3917,4,25,the bottom,,the bottom
3920,4,25,a hat,,a hat
3931,4,25,the nose,,the nose
3937,4,25,a baseball,,a baseball
3941,4,25,a baby,,a baby
3942,4,25,a nose,,a nose
3947,4,25,the baby,,the baby
3951,4,25,a nose,,a nose
3988,4,25,a mouth,,a mouth
4032,4,25,the mommy,,the mommy
4035,4,25,the hat,,the hat
4036,4,25,the shoes,,the shoes
4053,4,25,the shoes,,the shoes
4060,4,25,the shoes,,the shoes
4074,4,25,the shoes,,the shoes
4099,4,25,the phone,,the phone
4123,4,25,a banana,,a banana
4153,4,25,a bat,,a bat
4155,4,25,a bowling,,a bowling
4204,4,25,the bat,,the bat
4210,4,25,the hats,,the hats
4216,4,25,the one,,the one
4247,4,25,a rake,,a rake
4249,4,25,a rake,,a rake
4252,4,25,a bat,,a bat
4253,4,25,a rake,,a rake
4267,4,25,a diaper,,a diaper
4283,4,25,the shoes,,the shoes
4294,4,25,the shoes,,the shoes
4300,4,25,the shoes,,the shoes
4302,4,25,the shoes,,the shoes
4325,4,25,a smile,,a smile
4327,4,25,a smile,,a smile
4360,4,25,a dinosaur,,a dinosaur
4366,4,25,a penny,,a penny
4371,4,25,a nickel,,a nickel
4374,4,25,a nickel,,a nickel
4403,4,25,the money,,the money
4405,4,25,a time,,a time
4413,4,25,a quarter,,a quarter
4416,4,25,a penny,,a penny
4418,4,25,a time,,a time
4420,4,25,a time,,a time
4424,4,25,the quarter,,the quarter
4427,4,25,the dime,,the dime
4473,4,25,a banana,,a banana
4572,4,25,the matter,,the matter
4574,4,25,the floor,,the floor
4618,4,25,the guy,,the guy
4620,4,25,the lightbulbs,,the lightbulbs
4723,4,25,the dinosaur,,the dinosaur
4730,4,25,the ball,,the ball
4733,4,25,the couch,,the couch
4738,4,25,the dinosaur,,the dinosaur
4740,4,25,the system,,the system
4760,4,25,the ball,,the ball
4783,4,25,the ball,,the ball
4809,4,25,a rake,,a rake
4819,4,25,a soccer,,a soccer
4833,4,25,the bat,,the bat
4847,4,25,a idea,,a idea
4855,4,25,a idea,,a idea
4879,4,25,a somersault,,a somersault
4915,4,25,the plane,,the plane
4924,4,25,the plane,,the plane
4926,4,25,the plane,,the plane
4938,4,25,the mail,,the mail
4988,4,25,a kiss,,a kiss
4989,4,25,a kiss,,a kiss
4991,4,25,a kiss,,a kiss
5018,4,25,a kiss,,a kiss
5044,4,25,a kiss,,a kiss
5065,4,25,the pinball,,the pinball
5098,4,25,the rest,,the rest
5128,4,25,a plane,,a plane
5204,4,25,a toe,,a toe
5220,4,25,the toe,,the toe
5252,4,25,a job,,a job
5312,4,25,a minute,,a minute
5342,4,25,a part,,a part
5372,4,25,the bottom,,the bottom
5426,4,25,a part,,a part
5451,4,25,a genius,,a genius
5457,4,25,the rest,,the rest
5459,4,25,a piece,,a piece
5477,4,25,a kiss,,a kiss
5494,4,25,the puzzle,,the puzzle
5495,4,25,the rest,,the rest
5497,4,25,the puzzle,,the puzzle
5510,4,25,a truck,,a truck
5512,4,25,a truck,,a truck
5517,4,25,the end,,the end
5543,4,25,a lot,,a lot
5578,4,25,the pieces,,the pieces
5597,4,25,a game,,a game
5602,4,25,a song,,a song
5628,4,25,a truck,,a truck
5632,4,25,the truck,,the truck
5635,4,25,the truck,,the truck
5722,4,25,the thing,,the thing
5725,4,25,the way,,the way
5726,4,25,the way,,the way
5833,4,27,the picture,,the picture
5835,4,27,the cards,,the cards
5837,4,27,the cards,,the cards
5847,4,27,the moon,,the moon
5851,4,27,the moon,,the moon
5861,4,27,the picture,,the picture
5869,4,27,the moon,,the moon
5887,4,27,the fireplace,,the fireplace
5896,4,27,the stars,,the stars
5897,4,27,the stars,,the stars
5898,4,27,the star,,the star
5907,4,27,the clock,,the clock
5908,4,27,the clock,,the clock
5938,4,27,a bee,,a bee
5940,4,27,the bunny,,the bunny
5941,4,27,the bunny,,the bunny
5951,4,27,the moon,,the moon
5954,4,27,a doll,,a doll
5955,4,27,the moon,,the moon
5957,4,27,the moon,,the moon
5959,4,27,the card,,the card
5964,4,27,the top,,the top
5982,4,27,the ball,,the ball
5987,4,27,the stars,,the stars
5990,4,27,the box,,the box
5993,4,27,the stars,,the stars
6017,4,27,the balls,,the balls
6023,4,27,the ball,,the ball
6038,4,27,the balls,,the balls
6045,4,27,the bat,,the bat
6055,4,27,the balls,,the balls
6062,4,27,the balls,,the balls
6063,4,27,the bucket,,the bucket
6070,4,27,the ones,,the ones
6071,4,27,the couch,,the couch
6088,4,27,the shovel,,the shovel
6091,4,27,the bucket,,the bucket
6092,4,27,the ones,,the ones
6101,4,27,the ball,,the ball
6112,4,27,the bucket,,the bucket
6120,4,27,the hand,,the hand
6137,4,27,the balls,,the balls
6141,4,27,a bat,,a bat
6142,4,27,the shovel,,the shovel
6156,4,27,the balls,,the balls
6166,4,27,the drum,,the drum
6174,4,27,the balls,,the balls
6176,4,27,the balls,,the balls
6178,4,27,the ball,,the ball
6184,4,27,the shovel,,the shovel
6204,4,27,the xylophone,,the xylophone
6207,4,27,the drum,,the drum
6210,4,27,the drum,,the drum
6215,4,27,the drum,,the drum
6218,4,27,the drums,,the drums
6237,4,27,the kazoo,,the kazoo
6238,4,27,the Kazoo,,the Kazoo
6239,4,27,the kazoo,,the kazoo
6256,4,27,a song,,a song
6266,4,27,a mouse,,a mouse
6271,4,27,the colors,,the colors
6295,4,27,the xylophone,,the xylophone
6351,4,27,the stick,,the stick
6355,4,27,the ones,,the ones
6437,4,27,the foot,,the foot
6472,4,27,a boy,,a boy
6481,4,27,a hat,,a hat
6518,4,27,the drum,,the drum
6527,4,27,the bells,,the bells
6528,4,27,the people,,the people
6536,4,27,a dinosaur,,a dinosaur
6538,4,27,a bell,,a bell
6540,4,27,a dinosaur,,a dinosaur
6541,4,27,the dinosaur,,the dinosaur
6552,4,27,the dinosaur,,the dinosaur
6561,4,27,the house,,the house
6571,4,27,the hallyway,,the hallyway
6574,4,27,the bags,,the bags
6579,4,27,a minute,,a minute
6591,4,27,the pedals,,the pedals
6600,4,27,the house,,the house
6602,4,27,a pedal,,a pedal
6606,4,27,a time,,a time
6617,4,27,the end,,the end
6623,4,27,the bells,,the bells
6660,4,27,the bike,,the bike
6665,4,27,a right,,a right
6686,4,27,the dinosaur,,the dinosaur
6696,4,27,the bike,,the bike
6707,4,27,the bike,,the bike
6709,4,27,the deck,,the deck
6710,4,27,the bike,,the bike
6716,4,27,the floor,,the floor
6719,4,27,the kitchen,,the kitchen
6723,4,27,the mop,,the mop
6726,4,27,the closet,,the closet
6731,4,27,the mop,,the mop
6732,4,27,the floor,,the floor
6735,4,27,the juice,,the juice
6740,4,27,a cleaning,,a cleaning
6743,4,27,the part,,the part
6746,4,27,the white,,the white
6747,4,27,the sweetie,,the sweetie
6748,4,27,the floor,,the floor
6764,4,27,the floor,,the floor
6767,4,27,the white,,the white
6772,4,27,the floor,,the floor
6777,4,27,the floor,,the floor
6784,4,27,the door,,the door
6792,4,27,the button,,the button
6802,4,27,the ground,,the ground
6814,4,27,a helper,,a helper
6819,4,27,the floor,,the floor
6820,4,27,the rugs,,the rugs
6824,4,27,the floor,,the floor
6825,4,27,the floor,,the floor
6826,4,27,the floor,,the floor
6829,4,27,the green,,the green
6847,4,27,the brown,,the brown
6849,4,27,the rug,,the rug
6850,4,27,the rug,,the rug
6851,4,27,the rug,,the rug
6856,4,27,the floor,,the floor
6863,4,27,the matter,,the matter
6864,4,27,the matter,,the matter
6865,4,27,the matter,,the matter
6912,4,27,the car,,the car
6913,4,27,a minute,,a minute
6916,4,27,the floor,,the floor
6918,4,27,a minute,,a minute
6919,4,27,the couch,,the couch
6992,4,27,the sky,,the sky
6997,4,27,the page,,the page
7046,4,27,a hug,,a hug
7051,4,27,a doll,,a doll
7052,4,27,a doll,,a doll
7055,4,27,a doll,,a doll
7057,4,27,a doll,,a doll
7064,4,27,a bear,,a bear
7071,4,27,a duck,,a duck
7074,4,27,the table,,the table
7110,4,27,the balloon,,the balloon
7112,4,27,the balloon,,the balloon
7125,4,27,a party,,a party
7130,4,27,the instrument,,the instrument
7134,4,27,the basket,,the basket
7138,4,27,a bunny,,a bunny
7141,4,27,a bunny,,a bunny
7143,4,27,the bunny,,the bunny
7145,4,27,the bunny,,the bunny
7146,4,27,the bunny,,the bunny
7167,4,27,a camera,,a camera
7170,4,27,a picture,,a picture
7176,4,27,a picture,,a picture
7183,4,27,a picture,,a picture
7185,4,27,the button,,the button
7186,4,27,the button,,the button
7188,4,27,the dial,,the dial
7191,4,27,the dial,,the dial
7193,4,27,a picture,,a picture
7198,4,27,a photo,,a photo
7208,4,27,a picture,,a picture
7209,4,27,the dial,,the dial
7217,4,27,the camera,,the camera
7221,4,27,the lens,,the lens
7239,4,27,a hose,,a hose
7240,4,27,the hose,,the hose
7245,4,27,a swimming,,a swimming
7247,4,27,the swimming,,the swimming
7261,4,27,the balloons,,the balloons
7267,4,27,the page,,the page
7283,4,27,a whale,,a whale
7284,4,27,a bear,,a bear
7299,4,27,the pictures,,the pictures
7319,4,27,the shapes,,the shapes
7338,4,27,the table,,the table
7359,4,27,a bird,,a bird
7363,4,27,a bunny,,a bunny
7365,4,27,the bunny,,the bunny
7401,4,27,a sun,,a sun
7427,4,27,a bear,,a bear
7430,4,27,the table,,the table
7433,4,27,a circle,,a circle
7468,4,27,the duck,,the duck
7477,4,27,the shape,,the shape
7484,4,27,the telephone,,the telephone
7487,4,27,the telephone,,the telephone
7524,4,27,a train,,a train
7531,4,27,a bear,,a bear
7542,4,27,the way,,the way
7609,4,27,the table,,the table
7618,4,27,the table,,the table
7623,4,27,the colors,,the colors
7640,4,27,a star,,a star
7641,4,27,a bear,,a bear
7643,4,27,a fish,,a fish
7646,4,27,a boat,,a boat
7668,4,27,the airplane,,the airplane
7686,4,27,the box,,the box
7692,4,27,a box,,a box
7697,4,27,the box,,the box
7706,4,27,the shapes,,the shapes
7730,4,27,a bump,,a bump
7745,4,27,the things,,the things
7764,4,27,a clapper,,a clapper
7776,4,27,a kazoo,,a kazoo
7777,4,27,the kazoo,,the kazoo
7807,4,27,the airplane,,the airplane
7826,4,27,the balls,,the balls
7828,4,27,the balls,,the balls
7835,4,27,the train,,the train
7842,4,27,a bunny,,a bunny
7873,4,27,a job,,a job
7890,4,27,the sun,,the sun
7924,4,27,a trip,,a trip
7926,4,27,a trip,,a trip
7928,4,27,the water+slides,,the water+slides
7931,4,27,the way,,the way
7937,4,27,a trip,,a trip
7941,4,27,the car,,the car
7943,4,27,a trip,,a trip
7944,4,27,the back,,the back
7945,4,27,a ride,,a ride
7947,4,27,a trip,,a trip
7973,4,27,the back,,the back
7980,4,27,the water+slides,,the water+slides
7984,4,27,the slide,,the slide
8000,4,27,the water+slides,,the water+slides
8022,4,27,the water+slides,,the water+slides
8029,4,27,the water+slides,,the water+slides
8038,4,27,the water+slides,,the water+slides
8043,4,27,the train,,the train
8047,4,27,the today,,the today
8067,4,27,the water,,the water
8071,4,27,the slides,,the slides
8077,4,27,the zoo,,the zoo
8080,4,27,the zoo,,the zoo
8108,4,27,the aquarium,,the aquarium
8110,4,27,the zoo,,the zoo
8111,4,27,a lion,,a lion
8118,4,27,the aquarium,,the aquarium
8123,4,27,a whale,,a whale
8124,4,27,a whale,,a whale
8153,4,27,the ocean,,the ocean
8157,4,27,a lot,,a lot
8161,4,27,a day,,a day
8166,4,27,the grocery,,the grocery
8174,4,27,the park,,the park
8175,4,27,the slides,,the slides
8176,4,27,the swings,,the swings
8211,4,27,the telephone,,the telephone
8217,4,27,a message,,a message
8219,4,27,the animal,,the animal
8229,4,27,a job,,a job
8254,4,27,a rhinoceros,,a rhinoceros
8258,4,27,the zoo,,the zoo
8261,4,27,the zoo,,the zoo
8262,4,27,a rhinoceros,,a rhinoceros
8270,4,27,a patience,,a patience
8284,4,27,a baby,,a baby
8292,4,27,the kangaroo,,the kangaroo
8310,4,27,a clown,,a clown
8346,4,27,the foot,,the foot
8383,4,28,the blueberries,,the blueberries
8402,4,28,the balloon,,the balloon
8403,4,28,the balloon,,the balloon
8415,4,28,the balloon,,the balloon
8417,4,28,the balloon,,the balloon
8419,4,28,the kitchen,,the kitchen
8420,4,28,the kitchen,,the kitchen
8422,4,28,the table,,the table
8425,4,28,a dress,,a dress
8435,4,28,a bit,,a bit
8439,4,28,the balloon,,the balloon
8468,4,28,the balloon,,the balloon
8469,4,28,the whee,,the whee
8471,4,28,the whee,,the whee
8498,4,28,a dress,,a dress
8518,4,28,a minute,,a minute
8526,4,28,the socks,,the socks
8528,4,28,the socks,,the socks
8555,4,28,the sock,,the sock
8566,4,28,the matter,,the matter
8571,4,28,the stairs,,the stairs
8585,4,28,the tubtub,,the tubtub
8586,4,28,the tubtub,,the tubtub
8590,4,28,the #,,the #
8591,4,28,the rope,,the rope
8593,4,28,the swing,,the swing
8597,4,28,the girl,,the girl
8602,4,28,the water,,the water
8615,4,28,the water,,the water
8628,4,28,the folding,,the folding
8697,4,28,the names,,the names
8736,4,28,the back,,the back
8746,4,28,the water,,the water
8758,4,28,the bug,,the bug
8759,4,28,the bug,,the bug
8761,4,28,the bug,,the bug
8768,4,28,a summer,,a summer
8778,4,28,a beetle,,a beetle
8779,4,28,the beetle,,the beetle
8782,4,28,a season,,a season
8798,4,28,a split,,a split
8805,4,28,the shell,,the shell
8811,4,28,the bug,,the bug
8815,4,28,the end,,the end
8825,4,28,the shell,,the shell
8842,4,28,a trashbag,,a trashbag
8853,4,28,the ground,,the ground
8875,4,28,a hole,,a hole
8881,4,28,a cut,,a cut
8889,4,28,a monster,,a monster
8894,4,28,a shell,,a shell
8936,4,28,the parts,,the parts
8937,4,28,the abdomen,,the abdomen
8951,4,28,the swing,,the swing
8957,4,28,the table,,the table
8970,4,28,a task,,a task
8973,4,28,a no,,a no
8981,4,28,a stick,,a stick
8985,4,28,a stick,,a stick
8987,4,28,the swing,,the swing
8990,4,28,the swing,,the swing
8996,4,28,the #,,the #
9000,4,28,the stick,,the stick
9004,4,28,the stick,,the stick
9006,4,28,the stick,,the stick
9016,4,28,the swing,,the swing
9018,4,28,the swing,,the swing
9022,4,28,the swing,,the swing
9024,4,28,the stick,,the stick
9031,4,28,a ride,,a ride
9046,4,28,a pet,,a pet
9091,4,28,the stick,,the stick
9093,4,28,the tub,,the tub
9097,4,28,the swing,,the swing
9107,4,28,the balloon,,the balloon
9130,4,28,the swing,,the swing
9135,4,28,the bug,,the bug
9243,4,28,the lawn,,the lawn
9247,4,28,the lawn,,the lawn
9282,4,28,the lawn,,the lawn
9327,4,28,the flowers,,the flowers
9348,4,28,a flower,,a flower
9357,4,28,a bee,,a bee
9358,4,28,a tap,,a tap
9359,4,28,the flowers,,the flowers
9360,4,28,the flowers,,the flowers
9367,4,28,a bug,,a bug
9370,4,28,a bee,,a bee
9373,4,28,a bee,,a bee
9374,4,28,a bug,,a bug
9385,4,28,a bee,,a bee
9386,4,28,the flowers,,the flowers
9395,4,28,the thing,,the thing
9436,4,28,the ball,,the ball
9438,4,28,the bat,,the bat
9442,4,28,the bat,,the bat
9444,4,28,a ball,,a ball
9452,4,28,a soccer,,a soccer
9453,4,28,a baseball,,a baseball
9460,4,28,the bat,,the bat
9465,4,28,the end,,the end
9476,4,28,a hole,,a hole
9477,4,28,a hole,,a hole
9481,4,28,a hole,,a hole
9483,4,28,a hole,,a hole
9490,4,28,the ball,,the ball
9492,4,28,a hole,,a hole
9493,4,28,a hole,,a hole
9507,4,28,the way,,the way
9508,4,28,the car,,the car
9509,4,28,a trip,,a trip
9541,4,28,the package,,the package
9550,4,28,a mess,,a mess
9575,4,28,a day,,a day
9576,4,28,the heat,,the heat
9577,4,28,the matter,,the matter
9586,4,28,the seat,,the seat
9597,4,28,a hour,,a hour
9604,4,28,a drink,,a drink
9638,4,28,the potty,,the potty
9640,4,28,the potty,,the potty
9649,4,28,the potty,,the potty
9655,4,28,the sun,,the sun
9656,4,28,the sun,,the sun
9668,4,28,the shade,,the shade
9670,4,28,a drink,,a drink
9705,4,28,the side,,the side
9725,4,28,the wall,,the wall
9726,4,28,a job,,a job
9734,4,28,the wall,,the wall
9736,4,28,the steps,,the steps
9738,4,28,a lot,,a lot
9741,4,28,a one,,a one
9764,4,28,the leaf,,the leaf
9792,4,28,the house,,the house
9794,4,28,the kind,,the kind
9798,4,28,the bug,,the bug
9801,4,28,the bug,,the bug
9807,4,28,the squirrel,,the squirrel
9817,4,28,a bug,,a bug
9828,4,28,a bench,,a bench
9830,4,28,a bench,,a bench
9833,4,28,a stone,,a stone
9834,4,28,the bench,,the bench
9845,4,28,a brush,,a brush
9853,4,28,a broom,,a broom
9873,4,28,a bee,,a bee
9876,4,28,the ice,,the ice
9890,4,28,a bee,,a bee
9894,4,28,a bee,,a bee
9899,4,28,the end,,the end
9905,4,28,a lot,,a lot
9923,4,28,the water,,the water
9978,4,28,the computer,,the computer
9985,4,28,the cup,,the cup
9990,4,28,a bug,,a bug
10018,4,28,a bottle,,a bottle
10075,4,28,the street,,the street
10082,4,28,the car,,the car
10086,4,28,the street,,the street
10118,4,28,the trick,,the trick
10148,4,28,the terrain,,the terrain
10149,4,28,the sidewalk,,the sidewalk
10153,4,28,the #,,the #
10191,4,28,the driveway,,the driveway
10192,4,28,the driveway,,the driveway
10199,4,28,the street,,the street
10212,4,28,a truck,,a truck
10226,4,28,the street,,the street
10239,4,28,the street,,the street
10265,4,28,the driveway,,the driveway
10289,4,28,the truck,,the truck
10292,4,28,the rest,,the rest
10298,4,28,the truck,,the truck
10313,4,28,the shade,,the shade
10317,4,28,the street,,the street
10333,4,28,the way,,the way
10334,4,28,the cars,,the cars
10349,4,28,the way,,the way
10350,4,28,the way,,the way
10364,4,28,the horsie,,the horsie
10367,4,28,the noises,,the noises
10369,4,28,the horsie,,the horsie
10371,4,28,the noises,,the noises
10372,4,28,a horsie,,a horsie
10374,4,28,a horsie,,a horsie
10378,4,28,the noise,,the noise
10381,4,28,a horse,,a horse
10385,4,28,the reins,,the reins
10394,4,28,a workout,,a workout
10401,4,28,the horsie,,the horsie
10407,4,28,a house,,a house
